run_id,status,mode_id,condition_id,seed,simulation_ok,digest,audio_export_path,skipped_reason,error_summary,implementation_status,not_real_modem,downselect_valid,not_downselect_valid,performance_valid,surrogate_model_name,surrogate_model_version,surrogate_limitations,surrogate_readiness_score_synthetic,synthetic_metrics_label
issue0037-codec2-on-000-ssb-standard-3k-identity-seed-1,completed,ssb_standard_3k,identity,1,true,9e0801526e84785b,N/A,,,ISSUE-0011 reference-mode placeholder; no high-fidelity SSB RF emulation,false,true,false,true,,,,,
issue0037-codec2-on-001-ssb-standard-3k-awgn-snr-6db-seed-1,completed,ssb_standard_3k,awgn-snr-6db,1,true,20e505f90303816c,N/A,,,ISSUE-0011 reference-mode placeholder; no high-fidelity SSB RF emulation,false,true,false,true,,,,,
issue0037-codec2-on-002-ssb-standard-3k-awgn-snr-0db-seed-1,completed,ssb_standard_3k,awgn-snr-0db,1,true,e91de62422c80f2d,N/A,,,ISSUE-0011 reference-mode placeholder; no high-fidelity SSB RF emulation,false,true,false,true,,,,,
issue0037-codec2-on-003-ssb-narrow-1k9-identity-seed-1,completed,ssb_narrow_1k9,identity,1,true,bbeb8930cc37d48e,N/A,,,ISSUE-0011 reference-mode placeholder; no high-fidelity SSB RF emulation,false,true,false,true,,,,,
issue0037-codec2-on-004-ssb-narrow-1k9-awgn-snr-6db-seed-1,completed,ssb_narrow_1k9,awgn-snr-6db,1,true,462a80b8d5953960,N/A,,,ISSUE-0011 reference-mode placeholder; no high-fidelity SSB RF emulation,false,true,false,true,,,,,
issue0037-codec2-on-005-ssb-narrow-1k9-awgn-snr-0db-seed-1,completed,ssb_narrow_1k9,awgn-snr-0db,1,true,8f5651db7067dca5,N/A,,,ISSUE-0011 reference-mode placeholder; no high-fidelity SSB RF emulation,false,true,false,true,,,,,
issue0037-codec2-on-006-freedv700d-emulated-identity-seed-1,completed,freedv700d_emulated,identity,1,true,1d25c55b30aed6d2,N/A,,"emulated_surrogate_completed: implementation_status=emulated_surrogate; official=false; not_official_freedv=true; downselect_valid=false; performance_valid=false; emulator_model_name=f700f-minimal-freedv700d700e-surrogate; emulator_model_version=ISSUE-0033-v1; emulator_limitations=not official FreeDV; performance_valid=false; downselect_valid=false; deterministic audio-to-IQ/audio surrogate only; no Codec2, FreeDV modem, FEC, interleaver, synchronization, or official validation",emulated_surrogate,false,true,false,true,,,,,
issue0037-codec2-on-007-freedv700d-emulated-awgn-snr-6db-seed-1,completed,freedv700d_emulated,awgn-snr-6db,1,true,b0c924d27b630548,N/A,,"emulated_surrogate_completed: implementation_status=emulated_surrogate; official=false; not_official_freedv=true; downselect_valid=false; performance_valid=false; emulator_model_name=f700f-minimal-freedv700d700e-surrogate; emulator_model_version=ISSUE-0033-v1; emulator_limitations=not official FreeDV; performance_valid=false; downselect_valid=false; deterministic audio-to-IQ/audio surrogate only; no Codec2, FreeDV modem, FEC, interleaver, synchronization, or official validation",emulated_surrogate,false,true,false,true,,,,,
issue0037-codec2-on-008-freedv700d-emulated-awgn-snr-0db-seed-1,completed,freedv700d_emulated,awgn-snr-0db,1,true,1addd8c4c9e1dcab,N/A,,"emulated_surrogate_completed: implementation_status=emulated_surrogate; official=false; not_official_freedv=true; downselect_valid=false; performance_valid=false; emulator_model_name=f700f-minimal-freedv700d700e-surrogate; emulator_model_version=ISSUE-0033-v1; emulator_limitations=not official FreeDV; performance_valid=false; downselect_valid=false; deterministic audio-to-IQ/audio surrogate only; no Codec2, FreeDV modem, FEC, interleaver, synchronization, or official validation",emulated_surrogate,false,true,false,true,,,,,
issue0037-codec2-on-009-freedv700e-emulated-identity-seed-1,completed,freedv700e_emulated,identity,1,true,17c83cd1f06730ab,N/A,,"emulated_surrogate_completed: implementation_status=emulated_surrogate; official=false; not_official_freedv=true; downselect_valid=false; performance_valid=false; emulator_model_name=f700f-minimal-freedv700d700e-surrogate; emulator_model_version=ISSUE-0033-v1; emulator_limitations=not official FreeDV; performance_valid=false; downselect_valid=false; deterministic audio-to-IQ/audio surrogate only; no Codec2, FreeDV modem, FEC, interleaver, synchronization, or official validation",emulated_surrogate,false,true,false,true,,,,,
