run_id,status,mode_id,condition_id,seed,simulation_ok,digest,audio_export_path,skipped_reason,error_summary,implementation_status,implementation_classification,not_real_modem,downselect_valid,not_downselect_valid,performance_valid,performance_validity,downselect_validity,prototype,not_final_modem,waveform_capable,codec_family,fec_family,sync_family,modem_family,prototype_limitations,prototype_warning,prototype_symbol_error_rate,prototype_frame_status,prototype_sync_status,prototype_baseband_sample_count,surrogate_model_name,surrogate_model_version,surrogate_limitations,surrogate_readiness_score_synthetic,synthetic_metrics_label
m2h-700f-qpsk-smoke-000-ssb-standard-3k-identity-seed-1,completed,ssb_standard_3k,identity,1,true,77b620cdfc8eb02c,N/A,,,ISSUE-0011 reference-mode placeholder; no high-fidelity SSB RF emulation,,false,true,false,true,valid,valid,false,false,false,,,,,,,,,,0,,,,,
m2h-700f-qpsk-smoke-001-ssb-standard-3k-awgn-snr-6db-seed-1,completed,ssb_standard_3k,awgn-snr-6db,1,true,254b7e364e20fcf7,N/A,,,ISSUE-0011 reference-mode placeholder; no high-fidelity SSB RF emulation,,false,true,false,true,valid,valid,false,false,false,,,,,,,,,,0,,,,,
m2h-700f-qpsk-smoke-002-ssb-standard-3k-awgn-snr-0db-seed-1,completed,ssb_standard_3k,awgn-snr-0db,1,true,e867317f8248ffa2,N/A,,,ISSUE-0011 reference-mode placeholder; no high-fidelity SSB RF emulation,,false,true,false,true,valid,valid,false,false,false,,,,,,,,,,0,,,,,
m2h-700f-qpsk-smoke-003-ssb-narrow-1k9-identity-seed-1,completed,ssb_narrow_1k9,identity,1,true,61c00bc3b97c10a1,N/A,,,ISSUE-0011 reference-mode placeholder; no high-fidelity SSB RF emulation,,false,true,false,true,valid,valid,false,false,false,,,,,,,,,,0,,,,,
m2h-700f-qpsk-smoke-004-ssb-narrow-1k9-awgn-snr-6db-seed-1,completed,ssb_narrow_1k9,awgn-snr-6db,1,true,b65df2f119e4c8fb,N/A,,,ISSUE-0011 reference-mode placeholder; no high-fidelity SSB RF emulation,,false,true,false,true,valid,valid,false,false,false,,,,,,,,,,0,,,,,
m2h-700f-qpsk-smoke-005-ssb-narrow-1k9-awgn-snr-0db-seed-1,completed,ssb_narrow_1k9,awgn-snr-0db,1,true,9671f17e192a07ba,N/A,,,ISSUE-0011 reference-mode placeholder; no high-fidelity SSB RF emulation,,false,true,false,true,valid,valid,false,false,false,,,,,,,,,,0,,,,,
m2h-700f-qpsk-smoke-006-freedv700d-emulated-identity-seed-1,completed,freedv700d_emulated,identity,1,true,1ba5ceb6f9917369,N/A,,"emulated_surrogate_completed: implementation_status=emulated_surrogate; official=false; not_official_freedv=true; downselect_valid=false; performance_valid=false; emulator_model_name=f700f-minimal-freedv700d700e-surrogate; emulator_model_version=ISSUE-0033-v1; emulator_limitations=not official FreeDV; performance_valid=false; downselect_valid=false; deterministic audio-to-IQ/audio surrogate only; no Codec2, FreeDV modem, FEC, interleaver, synchronization, or official validation",emulated_surrogate,,false,true,false,true,valid,valid,false,false,false,,,,,,,,,,0,,,,,
m2h-700f-qpsk-smoke-007-freedv700d-emulated-awgn-snr-6db-seed-1,completed,freedv700d_emulated,awgn-snr-6db,1,true,a0ad16589b938a23,N/A,,"emulated_surrogate_completed: implementation_status=emulated_surrogate; official=false; not_official_freedv=true; downselect_valid=false; performance_valid=false; emulator_model_name=f700f-minimal-freedv700d700e-surrogate; emulator_model_version=ISSUE-0033-v1; emulator_limitations=not official FreeDV; performance_valid=false; downselect_valid=false; deterministic audio-to-IQ/audio surrogate only; no Codec2, FreeDV modem, FEC, interleaver, synchronization, or official validation",emulated_surrogate,,false,true,false,true,valid,valid,false,false,false,,,,,,,,,,0,,,,,
m2h-700f-qpsk-smoke-008-freedv700d-emulated-awgn-snr-0db-seed-1,completed,freedv700d_emulated,awgn-snr-0db,1,true,70e0e89d649ef560,N/A,,"emulated_surrogate_completed: implementation_status=emulated_surrogate; official=false; not_official_freedv=true; downselect_valid=false; performance_valid=false; emulator_model_name=f700f-minimal-freedv700d700e-surrogate; emulator_model_version=ISSUE-0033-v1; emulator_limitations=not official FreeDV; performance_valid=false; downselect_valid=false; deterministic audio-to-IQ/audio surrogate only; no Codec2, FreeDV modem, FEC, interleaver, synchronization, or official validation",emulated_surrogate,,false,true,false,true,valid,valid,false,false,false,,,,,,,,,,0,,,,,
m2h-700f-qpsk-smoke-009-freedv700e-emulated-identity-seed-1,completed,freedv700e_emulated,identity,1,true,b5dbadb8ae788680,N/A,,"emulated_surrogate_completed: implementation_status=emulated_surrogate; official=false; not_official_freedv=true; downselect_valid=false; performance_valid=false; emulator_model_name=f700f-minimal-freedv700d700e-surrogate; emulator_model_version=ISSUE-0033-v1; emulator_limitations=not official FreeDV; performance_valid=false; downselect_valid=false; deterministic audio-to-IQ/audio surrogate only; no Codec2, FreeDV modem, FEC, interleaver, synchronization, or official validation",emulated_surrogate,,false,true,false,true,valid,valid,false,false,false,,,,,,,,,,0,,,,,
m2h-700f-qpsk-smoke-010-freedv700e-emulated-awgn-snr-6db-seed-1,completed,freedv700e_emulated,awgn-snr-6db,1,true,56412c037a34d365,N/A,,"emulated_surrogate_completed: implementation_status=emulated_surrogate; official=false; not_official_freedv=true; downselect_valid=false; performance_valid=false; emulator_model_name=f700f-minimal-freedv700d700e-surrogate; emulator_model_version=ISSUE-0033-v1; emulator_limitations=not official FreeDV; performance_valid=false; downselect_valid=false; deterministic audio-to-IQ/audio surrogate only; no Codec2, FreeDV modem, FEC, interleaver, synchronization, or official validation",emulated_surrogate,,false,true,false,true,valid,valid,false,false,false,,,,,,,,,,0,,,,,
m2h-700f-qpsk-smoke-011-freedv700e-emulated-awgn-snr-0db-seed-1,completed,freedv700e_emulated,awgn-snr-0db,1,true,c737791c0409db58,N/A,,"emulated_surrogate_completed: implementation_status=emulated_surrogate; official=false; not_official_freedv=true; downselect_valid=false; performance_valid=false; emulator_model_name=f700f-minimal-freedv700d700e-surrogate; emulator_model_version=ISSUE-0033-v1; emulator_limitations=not official FreeDV; performance_valid=false; downselect_valid=false; deterministic audio-to-IQ/audio surrogate only; no Codec2, FreeDV modem, FEC, interleaver, synchronization, or official validation",emulated_surrogate,,false,true,false,true,valid,valid,false,false,false,,,,,,,,,,0,,,,,
m2h-700f-qpsk-smoke-012-freedv700d-official-identity-seed-1,skipped,freedv700d_official,identity,1,false,,N/A,official_freedv_codec2_unavailable: F700F_ENABLE_CODEC2=OFF; official=true codec2_enabled=false codec2_available=false roundtrip_available=false not_emulator=true not_surrogate=true,,,,false,true,false,true,valid,valid,false,false,false,,,,,,,,,,0,,,,,
m2h-700f-qpsk-smoke-013-freedv700d-official-awgn-snr-6db-seed-1,skipped,freedv700d_official,awgn-snr-6db,1,false,,N/A,official_freedv_codec2_unavailable: F700F_ENABLE_CODEC2=OFF; official=true codec2_enabled=false codec2_available=false roundtrip_available=false not_emulator=true not_surrogate=true,,,,false,true,false,true,valid,valid,false,false,false,,,,,,,,,,0,,,,,
m2h-700f-qpsk-smoke-014-freedv700d-official-awgn-snr-0db-seed-1,skipped,freedv700d_official,awgn-snr-0db,1,false,,N/A,official_freedv_codec2_unavailable: F700F_ENABLE_CODEC2=OFF; official=true codec2_enabled=false codec2_available=false roundtrip_available=false not_emulator=true not_surrogate=true,,,,false,true,false,true,valid,valid,false,false,false,,,,,,,,,,0,,,,,
m2h-700f-qpsk-smoke-015-freedv700e-official-identity-seed-1,skipped,freedv700e_official,identity,1,false,,N/A,official_freedv_codec2_unavailable: F700F_ENABLE_CODEC2=OFF; official=true codec2_enabled=false codec2_available=false roundtrip_available=false not_emulator=true not_surrogate=true,,,,false,true,false,true,valid,valid,false,false,false,,,,,,,,,,0,,,,,
m2h-700f-qpsk-smoke-016-freedv700e-official-awgn-snr-6db-seed-1,skipped,freedv700e_official,awgn-snr-6db,1,false,,N/A,official_freedv_codec2_unavailable: F700F_ENABLE_CODEC2=OFF; official=true codec2_enabled=false codec2_available=false roundtrip_available=false not_emulator=true not_surrogate=true,,,,false,true,false,true,valid,valid,false,false,false,,,,,,,,,,0,,,,,
m2h-700f-qpsk-smoke-017-freedv700e-official-awgn-snr-0db-seed-1,skipped,freedv700e_official,awgn-snr-0db,1,false,,N/A,official_freedv_codec2_unavailable: F700F_ENABLE_CODEC2=OFF; official=true codec2_enabled=false codec2_available=false roundtrip_available=false not_emulator=true not_surrogate=true,,,,false,true,false,true,valid,valid,false,false,false,,,,,,,,,,0,,,,,
m2h-700f-qpsk-smoke-018-freedv700f-a-balanced-identity-seed-1,completed,freedv700f_a_balanced,identity,1,true,1eb611866b5c3686,N/A,,"real_modem_prototype_completed: implementation_status=real_modem_prototype; implementation_classification=real_modem_prototype; prototype=true; not_final_modem=true; waveform_capable=true; codec_family=synthetic; fec_family=none; sync_family=none; modem_family=minimal_qpsk; downselect_valid=false; performance_valid=false; performance_validity=limited; performance_valid=limited; downselect_validity=invalid; prototype_frame_status=completed; prototype_sync_status=none; prototype_baseband_sample_count=256; prototype_limitations=ISSUE-0042 minimal QPSK-like baseband prototype, synthetic codec, no FEC, no final synchronization, not final modem, not official FreeDV, not valid for real downselect",real_modem_prototype,real_modem_prototype,false,false,true,false,limited,invalid,true,true,true,synthetic,none,none,minimal_qpsk,ISSUE-0042 minimal QPSK-like baseband prototype; synthetic codec; no FEC; no final synchronization; not final modem; not official FreeDV; not valid for real downselect,REAL MODEM PROTOTYPE WARNING: limited diagnostics only; performance_valid=limited; not real performance; downselect_valid=false,N/A,completed,none,256,,,,,
m2h-700f-qpsk-smoke-019-freedv700f-a-balanced-awgn-snr-6db-seed-1,completed,freedv700f_a_balanced,awgn-snr-6db,1,true,8fa533d4bae0b14a,N/A,,"real_modem_prototype_completed: implementation_status=real_modem_prototype; implementation_classification=real_modem_prototype; prototype=true; not_final_modem=true; waveform_capable=true; codec_family=synthetic; fec_family=none; sync_family=none; modem_family=minimal_qpsk; downselect_valid=false; performance_valid=false; performance_validity=limited; performance_valid=limited; downselect_validity=invalid; prototype_frame_status=completed; prototype_sync_status=none; prototype_baseband_sample_count=256; prototype_limitations=ISSUE-0042 minimal QPSK-like baseband prototype, synthetic codec, no FEC, no final synchronization, not final modem, not official FreeDV, not valid for real downselect",real_modem_prototype,real_modem_prototype,false,false,true,false,limited,invalid,true,true,true,synthetic,none,none,minimal_qpsk,ISSUE-0042 minimal QPSK-like baseband prototype; synthetic codec; no FEC; no final synchronization; not final modem; not official FreeDV; not valid for real downselect,REAL MODEM PROTOTYPE WARNING: limited diagnostics only; performance_valid=limited; not real performance; downselect_valid=false,N/A,completed,none,256,,,,,
m2h-700f-qpsk-smoke-020-freedv700f-a-balanced-awgn-snr-0db-seed-1,completed,freedv700f_a_balanced,awgn-snr-0db,1,true,81becc4adac840e4,N/A,,"real_modem_prototype_completed: implementation_status=real_modem_prototype; implementation_classification=real_modem_prototype; prototype=true; not_final_modem=true; waveform_capable=true; codec_family=synthetic; fec_family=none; sync_family=none; modem_family=minimal_qpsk; downselect_valid=false; performance_valid=false; performance_validity=limited; performance_valid=limited; downselect_validity=invalid; prototype_frame_status=completed; prototype_sync_status=none; prototype_baseband_sample_count=256; prototype_limitations=ISSUE-0042 minimal QPSK-like baseband prototype, synthetic codec, no FEC, no final synchronization, not final modem, not official FreeDV, not valid for real downselect",real_modem_prototype,real_modem_prototype,false,false,true,false,limited,invalid,true,true,true,synthetic,none,none,minimal_qpsk,ISSUE-0042 minimal QPSK-like baseband prototype; synthetic codec; no FEC; no final synchronization; not final modem; not official FreeDV; not valid for real downselect,REAL MODEM PROTOTYPE WARNING: limited diagnostics only; performance_valid=limited; not real performance; downselect_valid=false,N/A,completed,none,256,,,,,
m2h-700f-qpsk-smoke-021-freedv700f-b-robust-identity-seed-1,completed,freedv700f_b_robust,identity,1,true,629b580cbb631db4,N/A,,surrogate_completed: not_real_modem=true downselect_valid=false not_downselect_valid=true performance_valid=false synthetic_metrics_label=synthetic_surrogate_readiness_only,surrogate,,true,false,true,false,valid,valid,false,false,false,,,,,,,,,,0,700f_candidate_minimal_behavior,ISSUE-0032-v1,synthetic readiness only; not a real modem; BER/FER are not emitted as real values,0.625,synthetic_surrogate_readiness_only
m2h-700f-qpsk-smoke-022-freedv700f-b-robust-awgn-snr-6db-seed-1,completed,freedv700f_b_robust,awgn-snr-6db,1,true,1771b909c6be28c4,N/A,,surrogate_completed: not_real_modem=true downselect_valid=false not_downselect_valid=true performance_valid=false synthetic_metrics_label=synthetic_surrogate_readiness_only,surrogate,,true,false,true,false,valid,valid,false,false,false,,,,,,,,,,0,700f_candidate_minimal_behavior,ISSUE-0032-v1,synthetic readiness only; not a real modem; BER/FER are not emitted as real values,0.625,synthetic_surrogate_readiness_only
m2h-700f-qpsk-smoke-023-freedv700f-b-robust-awgn-snr-0db-seed-1,completed,freedv700f_b_robust,awgn-snr-0db,1,true,e13a6077e0fddf59,N/A,,surrogate_completed: not_real_modem=true downselect_valid=false not_downselect_valid=true performance_valid=false synthetic_metrics_label=synthetic_surrogate_readiness_only,surrogate,,true,false,true,false,valid,valid,false,false,false,,,,,,,,,,0,700f_candidate_minimal_behavior,ISSUE-0032-v1,synthetic readiness only; not a real modem; BER/FER are not emitted as real values,0.625,synthetic_surrogate_readiness_only
